Date,Close,High,Low,Open,Volume
2000-01-03,91.13275146484375,92.89509517602465,90.1536716252988,92.89509517602465,8164300
2000-01-04,87.56888580322266,90.27114569607701,87.50035022622997,89.93825860782684,8089800
2000-01-05,87.72557830810547,88.68507682085037,86.00239730562483,87.68641510350363,12177900
2000-01-06,86.31565856933594,88.66544963746668,86.31565856933594,87.49055410340131,6227200
2000-01-07,91.32862091064453,91.32862091064453,87.76476820787066,87.92142107392665,8066500
2000-01-10,91.64183807373047,92.05305144970234,90.8781560897827,91.64183807373047,5741700
2000-01-11,90.54525756835938,91.54391849742215,89.91864678933958,91.36768421582283,7503700
2000-01-12,89.64454650878906,90.60404471301158,89.52705693276181,90.60404471301158,6907700
2000-01-13,90.85861206054688,91.32857039879109,89.78162420207056,90.52572490429056,5158300
2000-01-14,92.09225463867188,92.40556020410219,91.46564350781127,91.81811226892036,7437300
2000-01-18,91.36768341064453,91.87680466411148,90.97605167720843,91.07395961056746,6488500
2000-01-19,92.11178588867188,92.11178588867188,90.85856431195525,91.05438018331722,6157900
2000-01-20,90.70196533203125,92.09225884208614,90.11451737003624,92.09225884208614,5800100
2000-01-21,90.50615692138672,91.17193133404945,90.27117771691752,91.17193133404945,6244800
2000-01-24,87.9409408569336,91.38730148726545,87.35349302221795,91.26981192032231,7896900
2000-01-25,88.93964385986328,88.93964385986328,87.09897311507527,88.04868089297122,9942500
2000-01-26,88.23470306396484,88.69487073418303,87.78432619524065,88.35219268189289,5158100
2000-01-27,87.88218688964844,89.11582721363415,86.55063860344164,88.88084810430354,10922700
2000-01-28,85.14078521728516,87.76471926032016,84.92538764658826,87.37308731359853,11916200
2000-01-31,87.4513931274414,87.5199287019927,84.59248058901632,85.10160199996874,10768700
2000-02-01,88.31299591064453,88.78295420373887,86.80521305363352,87.56889527991183,8419900
2000-02-02,88.391357421875,89.13545834833296,87.96056214866249,88.52842864516988,6205900
2000-02-03,89.7228775024414,89.76204069646255,87.72555460736305,88.27383932365906,7997500
2000-02-04,89.35081481933594,90.23198656311637,89.05709090474245,89.72286511115433,4925400
2000-02-07,89.21375274658203,89.46831349849282,88.62630485755713,89.331242324387,5845800
2000-02-08,90.42784118652344,90.58449400798125,89.99704592751445,90.21244355701894,4936400
2000-02-09,88.52841186523438,90.52573502609566,88.51862106542623,90.52573502609566,8511500
2000-02-10,88.70465087890625,89.3312620992429,88.27385566492481,88.7438140801773,6690600
2000-02-11,86.9030990600586,88.93958448192566,86.4918856575662,88.88083971014105,9849800
2000-02-14,87.4122543334961,87.58848871723298,86.66815360216256,87.58848871723298,8528800
2000-02-15,88.40107727050781,88.48919441475795,86.34501057133772,87.2555543952559,11078300
2000-02-16,87.09892272949219,88.31298145458852,86.97164237928047,87.96051279246377,8845400
2000-02-17,86.64854431152344,87.99967415502516,86.60938112765382,87.99967415502516,7584200
2000-02-18,84.78833770751953,87.02064036309856,84.35754245819726,87.02064036309856,9409200
2000-02-22,84.57290649414062,85.43449665059865,83.6721531487527,84.7099776553953,16415400
2000-02-23,85.57159423828125,86.13946065313483,84.27920860447654,84.98414622291547,12119000
2000-02-24,83.8484115600586,85.86531636871952,83.39803475812461,85.64991876779456,17375000
