Date,Close,High,Low,Open,Volume
2000-05-26,32.590641021728516,32.590641021728516,32.30104544190454,32.45698152334822,74800
2000-05-30,33.793556213378906,33.793556213378906,33.058429413747064,33.058429413747064,57600
2000-05-31,33.91610336303711,34.35049680512527,33.90496506965023,33.90496506965023,36000
2000-06-01,34.68464660644531,34.68464660644531,34.61224769734387,34.61224769734387,7000
2000-06-02,36.48902893066406,36.48902893066406,36.25512489905724,36.25512489905724,29400
2000-06-05,36.355384826660156,36.75636333577773,36.310831658980426,36.399937994339886,48400
2000-06-06,36.7118034362793,37.35782424917499,36.60042053750418,36.92900008889078,151800
2000-06-07,36.75634765625,36.75634765625,36.15488014914773,36.48902876420455,131000
2000-06-08,36.667266845703125,37.15735182176963,36.667266845703125,37.15735182176963,91400
2000-06-09,37.313270568847656,37.313270568847656,37.00139845663042,37.02367503607451,41600
2000-06-12,36.20500946044922,37.42465214185798,36.17716373712938,37.42465214185798,85200
2000-06-13,36.667266845703125,36.667266845703125,35.776203252854934,36.11592124762831,168200
2000-06-14,36.48902893066406,36.967975281097075,36.48902893066406,36.967975281097075,43200
2000-06-15,36.533599853515625,36.533599853515625,35.91542461209181,36.26628083019722,26800
2000-06-16,36.33310317993164,36.71180505243859,36.33310317993164,36.68952847170289,30200
2000-06-19,37.24645233154297,37.24645233154297,36.36652717179659,36.53360156921679,59200
2000-06-20,37.491493225097656,37.54718468859305,37.15734444412531,37.302142249213325,47000
2000-06-21,37.691192626953125,37.7580605026958,37.17853891292597,37.17853891292597,66800
2000-06-22,36.55445861816406,37.802659644150154,36.55445861816406,37.802659644150154,139600
2000-06-23,36.30925750732422,36.91106840523567,36.019496704626114,36.91106840523567,235800
2000-06-26,36.755027770996094,36.755027770996094,36.2869528266717,36.4541224496447,93600
2000-06-27,36.17551803588867,37.13395751558258,36.17551803588867,36.8107628073137,112800
2000-06-28,37.08937454223633,37.2231102677492,36.331538764330055,36.331538764330055,170600
2000-06-29,36.50985336303711,36.97792840615297,36.398406924199996,36.911060542850706,212200
2000-06-30,36.860931396484375,36.860931396484375,36.23125864549379,36.53216420791407,1171800
2000-07-03,37.379150390625,37.379150390625,36.73276078935599,36.77733938254696,15800
2000-07-05,36.955657958984375,37.178550950293086,36.82749448898187,37.167406300727656,138800
2000-07-06,37.390289306640625,37.390289306640625,36.6213086919884,36.96679273625245,154600
2000-07-07,37.62431716918945,37.769197537435744,37.395851973108776,37.395851973108776,71800
2000-07-10,37.86951446533203,38.00325024331437,37.602042909367356,37.602042909367356,44800
2000-07-11,37.82493209838867,38.01439109829221,37.69119633375088,37.80264280428237,253200
2000-07-12,38.582763671875,38.582763671875,37.980952800043326,38.025531383141974,45200
2000-07-13,38.70535659790039,38.70535659790039,38.51589761081018,38.616199427504995,102600
2000-07-14,38.73878479003906,38.905954459731404,38.42673473994669,38.905954459731404,54800
2000-07-17,38.87254333496094,38.93941124207383,38.671939613622264,38.7722414742916,46600
2000-07-18,38.20384979248047,38.61620173014726,38.20384979248047,38.61620173014726,235400
2000-07-19,37.53517150878906,38.08125921779461,37.53517150878906,38.08125921779461,35400
2000-07-20,38.15928649902344,38.15928649902344,37.89181486468449,37.89181486468449,150400
2000-07-21,37.111690521240234,37.93639475504557,37.111690521240234,37.93639475504557,150600
2000-07-24,36.57114028930664,37.31225893298755,36.49312780049812,37.31225893298755,37000
2000-07-25,36.64358139038086,36.86090190045155,36.42068855953913,36.86090190045155,36800
2000-07-26,36.57673645019531,36.57673645019531,35.997214727035605,36.376132776793874,15800
2000-07-27,35.573726654052734,36.50430502987147,35.573726654052734,36.50430502987147,275000
2000-07-28,34.949607849121094,35.77988392844492,34.86045068624068,35.77988392844492,171600
2000-07-31,35.841182708740234,35.841182708740234,34.72671807227443,35.12792534140212,166400
2000-08-01,35.607147216796875,35.70744903994278,35.40654357050506,35.57371327574824,263400
2000-08-02,35.66286849975586,35.86347213506699,35.30623981475831,35.39539698600769,388600
2000-08-03,35.640586853027344,35.707454745809756,34.97190792520319,34.97190792520319,1084200
2000-08-04,35.818885803222656,36.075212615131214,35.60713756729819,36.064067971135195,570400
2000-08-07,36.48199462890625,36.48199462890625,35.952624002704006,35.952624002704006,88200
2000-08-08,36.30925750732422,36.48757184744613,36.30925750732422,36.37612538486994,49600
2000-08-09,36.04735565185547,36.576726309905595,36.04735565185547,36.576726309905595,23000
2000-08-10,35.841182708740234,36.086364928762706,35.729736245093655,36.05293098966874,43000
2000-08-11,36.46529006958008,36.46529006958008,35.484560996804085,35.484560996804085,176000
2000-08-14,36.844207763671875,36.844207763671875,36.33155393513923,36.35384323203196,56800
2000-08-15,36.30925750732422,36.82191123517471,36.30925750732422,36.76618800388662,189200
2000-08-16,36.48755645751953,36.755027854886805,36.33153147572195,36.46526717440559,219400
2000-08-17,36.8219108581543,36.977935904163424,36.532150058423056,36.62130722757113,358800
2000-08-18,36.76618576049805,37.044801899938015,36.688173241454855,36.95564473531722,52200
2000-08-21,36.89992141723633,37.03365716384063,36.665883860678804,37.00022322718955,129200
2000-08-22,36.844207763671875,37.156257920170006,36.844207763671875,36.92222030279641,195600
2000-08-23,36.788482666015625,36.91107379274273,36.64360224351995,36.799627313899904,153000
2000-08-24,37.334564208984375,37.535167837569965,36.989080181975865,36.989080181975865,276200
2000-08-25,37.49058151245117,37.57973866230242,37.24539935036023,37.356845787674295,208600
2000-08-28,37.557472229003906,37.89181174439563,37.49060432592556,37.66891873413448,156000
2000-08-29,37.914093017578125,37.914093017578125,37.53517498036541,37.64662146189856,140200
2000-08-30,37.95867156982422,38.09240734752178,37.746923255136416,37.880659032833975,619000
